"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","816","Delete Key Result","Check goals functionality on clickup","Mon Nov 04 05:47:27 EET 2024","passed","Mon Nov 04 05:47:28 EET 2024","","","",""
"","1728","Get Task Time in Status - Expect 403 with Plan Restriction Message","Check tasks functionality on clickup","Mon Nov 04 22:51:35 EET 2024","passed","Mon Nov 04 22:51:36 EET 2024","","","",""
"","1863","Update Task","Check tasks functionality on clickup","Mon Nov 04 22:51:29 EET 2024","passed","Mon Nov 04 22:51:31 EET 2024","","","",""
"","2726","Get Filtered Team Tasks","Check tasks functionality on clickup","Mon Nov 04 22:51:32 EET 2024","passed","Mon Nov 04 22:51:35 EET 2024","","","",""
"","196","Create Goal","Check goals functionality on clickup","Mon Nov 04 05:47:22 EET 2024","passed","Mon Nov 04 05:47:23 EET 2024","","","",""
"","622","Create Key Result","Check goals functionality on clickup","Mon Nov 04 05:47:26 EET 2024","passed","Mon Nov 04 05:47:27 EET 2024","","","",""
"","1239","Delete Task","Check tasks functionality on clickup","Mon Nov 04 22:51:31 EET 2024","passed","Mon Nov 04 22:51:32 EET 2024","","","",""
"","1733","Get Bulk Task Time in Status","Check tasks functionality on clickup","Mon Nov 04 22:51:36 EET 2024","passed","Mon Nov 04 22:51:38 EET 2024","","","",""
"","861","Get Goal","Check goals functionality on clickup","Mon Nov 04 05:47:23 EET 2024","passed","Mon Nov 04 05:47:24 EET 2024","","","",""
"","660","Get Tasks","Check tasks functionality on clickup","Mon Nov 04 22:51:26 EET 2024","passed","Mon Nov 04 22:51:27 EET 2024","","","",""
"","1436","Get Task","Check tasks functionality on clickup","Mon Nov 04 22:51:27 EET 2024","passed","Mon Nov 04 22:51:29 EET 2024","","","",""
"","1646","Delete Goal","Check goals functionality on clickup","Mon Nov 04 05:47:24 EET 2024","passed","Mon Nov 04 05:47:26 EET 2024","","","",""
"","796","Edit Key Result","Check goals functionality on clickup","Mon Nov 04 05:47:27 EET 2024","passed","Mon Nov 04 05:47:27 EET 2024","","","",""
"","586","Update Goal","Check goals functionality on clickup","Mon Nov 04 05:47:24 EET 2024","passed","Mon Nov 04 05:47:24 EET 2024","","","",""
"","568","Create Task","Check tasks functionality on clickup","Mon Nov 04 22:51:27 EET 2024","passed","Mon Nov 04 22:51:27 EET 2024","","","",""
"","283","Get Goals","Check goals functionality on clickup","Mon Nov 04 05:47:22 EET 2024","passed","Mon Nov 04 05:47:22 EET 2024","","","",""
